Country,Confirmed,Deaths,Recovered,GDP_2018,gini,Infant Mortality Rate,Population Density,Urban Population,Median Age
Haiti,333181,-0.22585629109265223,87298,0.008897326660927397,1.820794559660671,0.5876366654170395,0.015719330219842807,-0.12609964289268136,-0.7532688506101685
Holy See,1356,-0.2325345029233183,742,0.16499332159743768,0.0,0.23996724171662834,0.0760527015225728,0.0,0.0
Honduras,1228583,-0.19450688247197495,135380,0.03483489933950698,1.7239235511908804,0.16299814220369951,0.0033792763032995405,-0.12609964289268136,-0.7532688506101685
Hungary,396247,-0.1813649473791199,204205,0.2406444663042081,-1.0619938095255577,0.019363777063129077,0.004062725443292706,0.5821692764384567,1.4771895641835768
Iceland,221241,-0.23139089798578416,190132,0.4483311618522557,-1.4249544720695337,0.0007533073227565695,0.00011390818999886092,1.6209636914574588,0.7728342753013414
India,40883464,0.881834840900975,23783720,0.055635858810817077,-0.1408166805245105,0.33660645755091695,0.017617800053157155,-1.1648940579116835,-0.2836986580220116
Indonesia,4057909,-0.011759615280443853,1677484,0.09778059662279981,-0.08528202004266183,0.2358037085838196,0.005733378896609333,-0.17331757084809007,-0.04891356172793315
Iran,19339267,0.7939396305617494,15200895,0.16499332159743768,0.07726582264167121,0.23996724171662834,0.0019744086266469227,0.7710409882600936,0.1858715345661453
Iraq,3093628,-0.11086536131320074,1790961,0.13231161593547022,0.4801230448401172,0.2557568861426407,0.0035311538899646883,0.629387204393866,-1.1054464950512861
Ireland,2571918,-0.07021677073771036,1997530,0.65363803948146,-0.386872717517445,0.016801166099544757,0.002733796559972662,0.15720792483977408,0.8902268234483807
Israel,2677930,-0.20083529752507798,1521162,0.3105324592283362,0.09836021744628501,0.01855252819978767,0.015187758666514789,1.5737457635020502,-0.04891356172793315
Italy,26745145,3.4836473272074997,15673910,0.3256826168608121,-0.34713611381434006,0.014982662560065328,0.007821695713255116,0.440515492572229,1.9467597567717336
Jamaica,61392,-0.2315272084779004,36003,0.0680316549532923,-0.1324674772464134,0.13121224649285876,0.010365645289896343,-0.22053549880349932,0.06847898641910607
Japan,1952495,-0.1467801691367422,1307911,0.3333480917640461,-0.2165471833816767,0.003825274023408762,0.01317538064320158,1.526527835546641,2.064152304918773
Jordan,93144,-0.2314911262888108,68045,0.06923843583026038,-0.2873997921571635,0.14986140238046894,0.004366480616623002,1.4793099075912317,-0.7532688506101685
Kazakhstan,2430707,-0.217880122737791,1342402,0.21509835146724765,-1.6617804512604752,0.09821648208743801,0.0002657857766640088,-0.07888171493727211,0.06847898641910607
Kenya,464603,-0.22204761557763933,161998,0.021587655899337612,0.30198664023328764,0.3819890664344328,0.0035691232866309755,-1.4954195535995476,-1.2228390431983254
Kosovo,225972,-0.22729356495805447,122234,0.08405727034009138,-1.3085457559371279,0.23996724171662834,0.014077533507992557,0.0,0.0
Kuwait,3120160,-0.20939780145264517,2205347,0.5719457236521877,0.0,0.06632967155418878,0.009112655199908873,0.0,0.7728342753013414
Kyrgyzstan,596200,-0.21752130541295558,301587,0.16499332159743768,-1.611195024901015,0.18700468017609895,0.0012909594866537572,-1.1176761299562743,-0.5184837543160901
Laos,2229,-0.2325345029233183,1540,0.16499332159743768,-0.35394712919968957,0.23996724171662834,0.001215020693321183,-1.1176761299562743,-0.7532688506101685
Latvia,118383,-0.2300708912349231,74648,0.23432164888803364,0.05293279571109202,0.020095303543373823,0.0011390818999886091,0.440515492572229,1.594582112330616
Lebanon,166607,-0.22900646665678,82508,0.09779239297585811,-1.0352815229615067,0.0587537103623291,0.02532558757641341,0.8654768441709121,-0.04891356172793315
Lesotho,6794,-0.23243627918635218,1318,0.01962102113960443,1.609371715982388,0.8374261256946604,0.002695827163306375,-1.3537657697333203,-0.7532688506101685
Liberia,51775,-0.22918587531919773,23418,0.004474264573846389,-0.6729490876824697,0.7632948291532025,0.0020123780233132094,-0.3149713547143178,-1.3402315913453646
Libya,62321,-0.23091882267852862,14199,0.1586944795554833,0.0,0.10552041475077464,0.00015187758666514788,0.8654768441709121,-0.16630610987497238
Liechtenstein,10351,-0.23241823809180737,9477,0.16499332159743768,0.0,0.23996724171662834,0.009036716406576299,-2.1092526170198673,0.0
Lithuania,188762,-0.22549947833387735,120592,0.2751962674781972,0.04766022100797246,0.01881319933851931,0.00163268405665034,0.5349513484830475,1.7119746604776553
Luxembourg,501355,-0.22088396497949986,379664,0.8925045643451422,-0.8548336487702027,0.009490410612762864,0.009188593993241448,1.337656123725004,1.125011919742459
Madagascar,207296,-0.2308316240548954,99424,0.009093143133290234,0.4030910860912185,0.4399311069270139,0.0018225310399817747,-0.9760223460900466,-1.2228390431983254
Malawi,89666,-0.23089075875368115,26822,0.004493019543383728,0.8419740303769728,0.3699989351957121,0.007707787523256256,-1.9675988331536398,-1.4576241394924039
Malaysia,876874,-0.2195338897377308,703056,0.24603192366891352,0.25234751164294106,0.07329359832684135,0.0037589702699624104,0.8654768441709121,-0.04891356172793315
Maldives,173602,-0.23182789338698037,106302,0.11544233016731549,-0.39249631200463486,0.06316770172477977,0.06842085279264913,-1.1648940579116835,-0.04891356172793315
Mali,151494,-0.22428671586725482,95287,0.012464686722262995,-0.8544888439150596,0.7384773769646259,0.0006454797433268786,-0.7399327063130007,-1.6924092357864824
Malta,67483,-0.23176775640516437,53260,0.33163304315819037,-1.1016951601622416,0.05766657519958995,0.05239776739947602,1.5737457635020502,1.4771895641835768
Mauritania,219095,-0.22579916095992705,94938,0.027004903446964837,-0.9172433275510167,0.6118279913689166,0.00018984698333143486,-0.12609964289268136,-1.2228390431983254
Mauritius,39448,-0.23137085232517882,32602,0.18237044803159944,-0.17091321859481534,0.16069390245352325,0.023768842313095645,-0.8815864901792284,0.7728342753013414
Mexico,14946202,1.4996882057766714,11141225,0.15140563661133566,1.0308796497597406,0.13461307563320954,0.00250598017997494,1.148784411903367,-0.16630610987497238
Moldova,1156957,-0.194251300299257,652369,0.051741896657076444,-1.6052184074118763,0.23996724171662834,0.004670235789953297,-0.7871506342684099,0.8902268234483807
Monaco,11993,-0.232108532635455,8707,0.16499332159743768,0.0,0.013010863897811203,1.0,0.0,0.0
Mongolia,16999,-0.2325345029233183,9902,0.10349015920384183,-0.8644498730636236,0.15033773055559088,7.593879333257394e-05,0.346079636661411,-0.2836986580220116
Montenegro,72422,-0.23115235462458072,31486,0.15810648990290263,-0.488140868760508,0.006874232274948442,0.0017845616433154877,0.39329756461682025,1.0076193715954198
Morocco,1002746,-0.20931160511204222,703960,0.062364352734155096,0.11820565244227069,0.21191163845628605,0.003151459923301819,0.2044258527951833,-0.04891356172793315
Mozambique,58006,-0.23217267874939207,0,0.005671757994725429,1.5924379664298265,0.670108589698569,0.0015187758666514789,-1.0232402740454558,-1.4576241394924039
Namibia,28836,-0.2324623385451391,2152,0.08210301844559204,3.0146239031161355,0.3676502822652871,0.00011390818999886092,-0.22053549880349932,-0.988053946904247
Nepal,682623,-0.2308707130930758,308056,0.018591322882468442,-0.8843719313607526,0.3034272987619397,0.007707787523256256,-1.8259450492874123,-0.6358763024631293
Netherlands,5167516,0.3912002587739821,16967,0.44060950612002264,-1.11615975696052,0.024668631213394635,0.019288453506473784,1.526527835546641,1.4771895641835768
New Zealand,175979,-0.23034852363430694,149560,0.31914296004891113,-0.340148174114472,0.030805777401718026,0.0006834491399931655,1.2904381957695947,0.8902268234483807
Nicaragua,137545,-0.22765639141501098,86849,0.03796439062747564,1.103600460964022,0.16124955991346804,0.0020883168166457833,-0.12609964289268136,-0.5184837543160901
Niger,102223,-0.22657292345929284,79067,0.002530551167468095,-0.8806365454300412,0.5688369721361668,0.0007214185366594525,-2.014816761109049,-1.8098017839335216
Nigeria,1634040,-0.19302851500233179,600928,0.041589313215284,0.673533027474747,0.9139366451434313,0.008581083646580856,-0.362189282669727,-1.4576241394924039
North Macedonia,440483,-0.211251022775608,214483,0.12377292672998733,-0.49869333401476856,0.04843827171347656,0.003151459923301819,-0.03166378698186288,1.0076193715954198
Norway,1008821,-0.20681191123455744,544430,0.5133906021132605,-1.35837165382401,0.006175188605871186,0.0005695409499943046,1.1015664839479578,1.125011919742459
Oman,2559773,-0.2207035540340519,1439269,0.3259165221905467,-1.2041209670296762,0.10463033675704281,0.0006075103466605915,1.2904381957695947,0.06847898641910607
Pakistan,12833994,0.03279888139611635,6936003,0.03822997459027661,-1.1452512847616592,0.6813057407407314,0.010897216843224361,-1.1648940579116835,-0.8706613987572077
Panama,2378126,-0.18066034240884252,1213644,0.19666016683374954,1.6373999911038677,0.1419572796613048,0.0022022250066446444,0.39329756461682025,-0.04891356172793315
Papua New Guinea,1185,-0.23253249835725776,695,0.028473577075198955,0.46186115806774913,0.432106749082885,0.0007593879333257394,-2.203688472930686,-0.988053946904247
Paraguay,156373,-0.230867706243985,75800,0.10190497043862952,1.6245444978818984,0.1904177349980811,0.0006834491399931655,0.10998999688436484,-0.5184837543160901
Peru,19263916,0.4210672907928952,10862846,0.10839023867197936,0.7025998639207667,0.11020099050358727,0.0009872043133234613,0.9126947721263213,0.06847898641910607
Philippines,2972611,-0.12138933313099956,785042,0.06505451844481251,0.7308089450789922,0.25330057391385985,0.013972737973193606,-0.5982789224467732,-0.5184837543160901
Poland,2755525,-0.11424706425732009,1465856,0.24250013713141527,-0.8156890287637952,0.028544072293273548,0.004708205186619584,0.015554140973546356,1.3597970160365376
Portugal,3855363,-0.08559680383715064,1809966,0.25897865055213143,-0.03431858985111212,0.0195823322483332,0.004214603029957854,0.29886170870600176,1.8293672086246946
Qatar,6377607,-0.22539524089872962,4676443,1.0,-1.2738481710696283,0.05125103390903637,0.009416410373239169,1.7153995473682773,0.1858715345661453
Romania,2363132,-0.09218380791206243,1409409,0.21768728617201505,-0.1407275957596928,0.05284224900325493,0.0031894293199681055,-0.22053549880349932,1.4771895641835768
Russia,45408411,0.3882645717783314,25120448,0.16499332159743768,-0.2789026997409967,0.23996724171662834,0.00034172456999658277,0.6766051323492751,1.125011919742459
Rwanda,71242,-0.23236511709120325,36974,0.011948661180635109,1.1207832362452952,0.31187198343287625,0.01993393324980066,-1.9675988331536398,-1.2228390431983254
Saint Kitts and Nevis,1772,-0.2325345029233183,1295,0.16499332159743768,0.0,0.14315776687136592,0.014077533507992557,0.0,0.0
Saint Lucia,2236,-0.2325345029233183,1860,0.16499332159743768,1.863377959270784,0.2329349410431947,0.011428788396552378,-1.9203809051982306,0.42065663086022376
Saint Vincent and the Grenadines,2771,-0.2325345029233183,1995,0.16499332159743768,0.0,0.14956987581170816,0.014077533507992557,0.0,0.0
San Marino,74949,-0.2274368914313826,41810,0.16499332159743768,-1.519761078174816,0.0,0.021490678513118425,1.7626174753236865,0.0
Sao Tome and Principe,46884,-0.23158233404456507,15882,0.021199483876628924,0.7188557101007149,0.27658236705162337,0.014077533507992557,0.0,0.0
Saudi Arabia,12362961,-0.1271444422907901,8474107,0.4327361162136615,0.7905751199703794,0.052731590680019334,0.0006075103466605915,1.148784411903367,0.1858715345661453
Senegal,467457,-0.22534111761509523,286778,0.024084457635389,0.04275085664189473,0.3924383619162479,0.0033033375099669666,-0.5038430665359548,-1.3402315913453646
Serbia,1376322,-0.20359257814134127,735730,0.1323041821784158,-0.13090222908956298,0.039435962299335686,0.003796939666628697,-0.17331757084809007,1.3597970160365376
Seychelles,3977,-0.2325345029233183,1247,0.23632097298801305,1.204455881093238,0.13543589057900002,0.008125450886585412,-0.17331757084809007,0.42065663086022376
Sierra Leone,95846,-0.2283389461586225,58390,0.00679954895666865,-0.5825527481592467,0.9989664118548158,0.004214603029957854,-0.7871506342684099,-1.3402315913453646
Singapore,3502472,-0.23008793004643763,2372884,0.7989223752584547,1.2687045191014794,0.007004483344513114,0.3173482173368265,0.0,1.3597970160365376
Slovakia,176429,-0.22983635700584074,121950,0.16499332159743768,-1.5621837935856755,0.04012068598005441,0.0043285112199567145,-0.26775342675890856,1.2424044678894983
Slovenia,186132,-0.2211826453225193,109805,0.29570628348311034,-1.3599067516156558,0.002104560773295699,0.003910847856627558,-0.22053549880349932,1.7119746604776553
Somalia,206646,-0.2255125080132708,59491,0.16499332159743768,-0.174275065932456,0.9123246079844973,0.0009492349166571743,-0.5982789224467732,-1.5750166876394431
South Africa,11168743,-0.05014003935844102,5836423,0.10259425204629827,4.053509438165678,0.3272957992057071,0.0018605004366480616,0.346079636661411,-0.2836986580220116
South Korea,1647537,-0.19893998031484392,1246797,0.16499332159743768,0.0,0.23996724171662834,0.020009872043133235,1.0543485559925485,1.594582112330616
South Sudan,118818,-0.23052392316460357,23121,0.16499332159743768,0.0,0.7656629577304414,0.0006834491399931655,-1.6370733374657753,-1.3402315913453646
